,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
977,21068244,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-1-phenylcyclopentane-1-carboxamide",C1CCC(C1)(C2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1620>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba473e0>,0,0.6460319762528066,-12.946,-13 : -11
980,21068247,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-(1,3-dioxoisoindol-2-yl)acetamide",C1=CC=C2C(=C1)C(=O)N(C2=O)CC(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47530>,0,0.6747205008429705,-12.944,-13 : -11
518,21065542,"1-[[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-(3,4-difluorophenyl)urea",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNC(=O)NC5=CC(=C(C=C5)F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e4900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3a6c0>,0,0.5473280023449876,-12.942,-13 : -11
1724,66656606,"N-[2-amino-5-(4-fluorophenyl)phenyl]-2-[[4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]-4,5-dihydro-1,3-thiazole-5-carboxamide",CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=NCC(S3)C(=O)NC4=C(C=CC(=C4)C5=CC=C(C=C5)F)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fba06650>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5c4a0>,0,0.5040983606557377,-12.938,-13 : -11
761,21067629,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-1H-indole-5-carboxamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)CNC(=O)C5=CC6=C(C=C5)NC=C6)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9eb680>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba414d0>,0,0.6129276961836145,-12.937,-13 : -11
1347,44611483,"N-[2-amino-5-(4-fluorophenyl)phenyl]-2-[[4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]-1,3-thiazole-5-carboxamide",CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=NC=C(S3)C(=O)NC4=C(C=CC(=C4)C5=CC=C(C=C5)F)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fbd10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba51b60>,0,0.5942622950819673,-12.936,-13 : -11
2299,89058070,"3-bromo-5-(2-chlorophenyl)-N-[[3-[1-(2,3-dihydro-1H-inden-2-yl)ethenylamino]phenyl]methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C=C(C1CC2=CC=CC=C2C1)NC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba18190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6df50>,0,0.580140810937713,-12.935,-13 : -11
2778,153643869,"1-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-[(2E,4E)-6-chloro-4-(trifluoromethyl)hepta-2,4,6-trien-3-yl]urea",CC=C(C(=CC(=C)Cl)C(F)(F)F)NC(=O)NCC1=CC=C(C=C1)CNC2=CC(=NC3=C(C=NN23)Br)C4=CC=CC=C4Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba27060>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7ceb0>,0,0.5293492375835686,-12.935,-13 : -11
702,21067543,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-1H-indole-5-carboxamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)NC(=O)C5=CC6=C(C=C5)NC=C6)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e9cb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3fa70>,0,0.580140810937713,-12.934,-13 : -11
973,21068240,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-1H-indole-3-carboxamide",C1=CC=C2C(=C1)C(=CN2)C(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47220>,0,0.5958270582200198,-12.933,-13 : -11
998,21068265,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-cyclopentyl-2-phenylacetamide",C1CCC(C1)C(C2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1f50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47d10>,0,0.5804582057610034,-12.93,-13 : -11
947,21068197,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-oxo-1,2-dihydroindene-1-carboxamide",C1C(C2=CC=CC=C2C1=O)C(=O)NC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba466c0>,0,0.5938490150158423,-12.925,-13 : -11
513,21065537,"1-[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-[4-(trifluoromethyl)phenyl]urea",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)NC(=O)NC5=CC=C(C=C5)C(F)(F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e46d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3a490>,0,0.5801148875908892,-12.922,-13 : -11
596,21065865,"1-[[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-(3-methylphenyl)urea",CC1=CC(=CC=C1)NC(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e6b90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3c9e0>,0,0.5804582057610034,-12.92,-13 : -11
701,21067542,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-1H-indole-2-carboxamide",C1=CC=C2C(=C1)C=C(N2)C(=O)NC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e9c40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3fa00>,0,0.6129276961836145,-12.912,-13 : -11
2093,70793148,"1-[3-[4-[(2-methylpyrrolidin-1-yl)methyl]phenyl]-4-oxo-1H-indeno[1,2-c]pyrazol-5-yl]-3-morpholin-4-ylurea",CC1CCCN1CC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fba119a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba67760>,0,0.5740748262453221,-12.91,-13 : -11
168,10210844,(E)-3-[4-[[2-[(4-aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]piperidin-1-yl]-1-phenylprop-2-en-1-one,C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5CCN(CC5)C=CC(=O)C6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd47b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2e570>,0,0.5169864762655393,-12.908,-13 : -11
2403,91464969,3-[4-[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]piperidin-1-yl]-1-phenylprop-2-en-1-one,C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5CCN(CC5)C=CC(=O)C6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1b450>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba712a0>,0,0.5169864762655393,-12.908,-13 : -11
758,21067626,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2,3-dihydro-1H-indene-2-carboxamide",C1C(CC2=CC=CC=C21)C(=O)NC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9eb530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba41380>,0,0.5473539256918113,-12.905,-13 : -11
