,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
1010,21068280,"(E)-N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-phenylethenesulfonamide",C1=CC=C(C=C1)C=CS(=O)(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba482e0>,0,0.572261484449528,-12.337,-13 : -11
2213,73740351,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-phenylethenesulfonamide",C1=CC=C(C=C1)C=CS(=O)(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba152a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6b060>,0,0.572261484449528,-12.318,-13 : -11
944,21068190,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-chlorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)NS(=O)(=O)C5=CC(=CC=C5)Cl)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f07b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba46570>,0,0.5347155255544841,-12.302,-13 : -11
2067,69779462,"4-[3-[5-Amino-1-(2,6-dichlorobenzoyl)-1,2,4-triazol-3-yl]-2,6-dichloroanilino]benzenesulfonamide",C1=CC(=C(C(=C1)Cl)C(=O)N2C(=NC(=N2)C3=C(C(=C(C=C3)Cl)NC4=CC=C(C=C4)S(=O)(=O)N)Cl)N)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba10970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba66730>,0,0.5246707213920329,-12.295,-13 : -11
784,21067658,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-methylbenzenesulfonamide",CC1=CC=CC=C1S(=O)(=O)NCC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ec120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba41ee0>,0,0.5227637617573851,-12.283,-13 : -11
991,21068258,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2,4-difluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNS(=O)(=O)C5=C(C=C(C=C5)F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1c40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47a00>,0,0.537545958895044,-12.26,-13 : -11
994,21068261,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2,6-difluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNS(=O)(=O)C5=C(C=CC=C5F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1d90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47b50>,0,0.5558680418265772,-12.255,-13 : -11
1179,23645566,"4-({5-[(4-aminocyclohexyl)amino]-3-cyclopentylpyrazolo[1,5-a]pyrimidin-7-yl}amino)-N,N-dimethylbenzene-1-sulfonamide",CN(C)S(=O)(=O)C1=CC=C(C=C1)NC2=CC(=NC3=C(C=NN23)C4CCCC4)NC5CCC(CC5)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f7290>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4d0e0>,0,0.7704918032786885,-12.206,-13 : -11
2612,135744117,4-[[2-hydroxy-4-[(E)-2-(4-hydroxyphenyl)ethenyl]-1H-indol-3-yl]diazenyl]benzenesulfonamide,C1=CC(=C2C(=C1)NC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)N)O)C=CC4=CC=C(C=C4)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba214d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba77290>,0,0.5738415542203978,-12.179,-13 : -11
992,21068259,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2,5-difluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNS(=O)(=O)C5=C(C=CC(=C5)F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1cb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47a70>,0,0.5066877139577247,-12.176,-13 : -11
2621,136347707,"4-(N'-{4-[2-(4-hydroxyphenyl)-vinyl]-2-oxo-1,2-dihydro-indol-3-ylidene}-hydrazino)-benzenesulfonamide",C1=CC(=C2C(=C1)NC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)N)O)C=CC4=CC=C(C=C4)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba21930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba776f0>,0,0.5738415542203978,-12.169,-13 : -11
932,21068170,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2-methylsulfonylbenzenesulfonamide",CS(=O)(=O)C1=CC=CC=C1S(=O)(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba46030>,0,0.555524723656463,-12.158,-13 : -11
