,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2553,132571574,"N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylformamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1f990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba757e0>,0,0.5410240841934831,-15.468,<-15
2275,87605445,"N-[5-[[5-bromo-4-[[(2R,3R)-3-hydroxybutan-2-yl]amino]pyrimidin-2-yl]amino]-2-chlorophenyl]-1-[dimethyl(nitroso)-lambda4-sulfanyl]formamide",CC(C(C)O)NC1=NC(=NC=C1Br)NC2=CC(=C(C=C2)Cl)NC(=O)S(C)(C)N=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba17140>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6cf90>,0,0.6131953115559673,-10.64,>-11
2274,87605444,"N-[4-[[5-bromo-4-[[(2R,3R)-3-hydroxybutan-2-yl]amino]pyrimidin-2-yl]amino]-2-methoxyphenyl]-1-[dimethyl(nitroso)-lambda4-sulfanyl]formamide",CC(C(C)O)NC1=NC(=NC=C1Br)NC2=CC(=C(C=C2)NC(=O)S(C)(C)N=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba170d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6cf20>,0,0.6066379345067869,-10.628,>-11
2273,87605421,"N-[5-[[5-bromo-4-[[(2R,3R)-3-hydroxybutan-2-yl]amino]pyrimidin-2-yl]amino]-2-methoxyphenyl]-1-[dimethyl(nitroso)-lambda4-sulfanyl]formamide",CC(C(C)O)NC1=NC(=NC=C1Br)NC2=CC(=C(C=C2)OC)NC(=O)S(C)(C)N=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba17060>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6ceb0>,0,0.6131953115559673,-10.621,>-11
2278,87605705,"N-[5-[[5-bromo-4-[[(2R,3R)-3-hydroxybutan-2-yl]amino]pyrimidin-2-yl]amino]-2-methylphenyl]-1-[dimethyl(nitroso)-lambda4-sulfanyl]formamide",CC1=C(C=C(C=C1)NC2=NC=C(C(=N2)NC(C)C(C)O)Br)NC(=O)S(C)(C)N=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba17290>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6d0e0>,0,0.5640149836871149,-10.464,>-11
2279,87605819,"N-[3-[[5-bromo-4-[[(2R,3R)-3-hydroxybutan-2-yl]amino]pyrimidin-2-yl]amino]phenyl]-1-[dimethyl(nitroso)-lambda4-sulfanyl]formamide",CC(C(C)O)NC1=NC(=NC=C1Br)NC2=CC(=CC=C2)NC(=O)S(C)(C)N=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba17300>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6d150>,0,0.5804084263100656,-10.139,>-11
2271,87605324,"N-[5-[[5-bromo-4-[[(2R,3R)-3-hydroxybutan-2-yl]amino]pyrimidin-2-yl]amino]-2-fluorophenyl]-1-[dimethyl(nitroso)-lambda4-sulfanyl]formamide",CC(C(C)O)NC1=NC(=NC=C1Br)NC2=CC(=C(C=C2)F)NC(=O)S(C)(C)N=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba16f80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6cdd0>,0,0.6459016393442623,-9.784,>-11
2276,87605457,"N-[4-[[5-bromo-4-[[(2R,3R)-3-hydroxybutan-2-yl]amino]pyrimidin-2-yl]amino]phenyl]-1-[dimethyl(nitroso)-lambda4-sulfanyl]formamide",CC(C(C)O)NC1=NC(=NC=C1Br)NC2=CC=C(C=C2)NC(=O)S(C)(C)N=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba171b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6d000>,0,0.5968018689330165,-9.383,>-11
