,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2827,155381500,"3-[[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylamino]propanenitrile",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)CCC#N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e420>,0,0.5409836065573771,-13.636,-15 : -13
1278,44352772,"3-[[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylamino]propanenitrile",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)CCC#N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f9e70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4fc30>,0,0.5409836065573771,-13.545,-15 : -13
1177,23645089,"3-[9-fluoro-3-oxo-5-(1H-pyrrol-2-yl)-2-azatricyclo[6.3.1.0;{4,12}]dodeca-1(11),4,6,8(12),9-pentaen-7-yl]propanenitrile",C1=CNC(=C1)C2=C3C4=C(C=CC(=C4C(=C2)CCC#N)F)NC3=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f71b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4d000>,0,0.7622221567280525,-10.05,>-11
